DATE,DEWP,HIDX,TEMP,WCHL
01-01T01:00:00,23.5,34.5,34.5,26.2
01-01T02:00:00,23.4,34.2,34.2,25.9
01-01T03:00:00,23.3,33.9,33.9,25.6
01-01T04:00:00,23.3,33.6,33.6,25.2
01-01T05:00:00,23.3,33.4,33.4,25.0
01-01T06:00:00,23.2,33.3,33.3,24.9
01-01T07:00:00,23.2,33.3,33.3,24.9
01-01T08:00:00,23.2,33.4,33.4,24.9
01-01T09:00:00,23.3,34.1,34.1,25.6
01-01T10:00:00,23.4,34.9,34.9,26.7
01-01T11:00:00,23.6,36.0,36.0,27.9
01-01T12:00:00,23.6,37.0,37.0,29.0
01-01T13:00:00,23.8,37.8,37.8,30.0
01-01T14:00:00,23.8,38.4,38.4,30.8
01-01T15:00:00,23.8,38.6,38.6,31.0
01-01T16:00:00,23.8,38.3,38.3,30.7
01-01T17:00:00,23.8,37.6,37.6,29.8
01-01T18:00:00,23.7,37.1,37.1,29.1
01-01T19:00:00,23.6,36.8,36.8,28.6
01-01T20:00:00,23.5,36.3,36.3,28.1
01-01T21:00:00,23.4,35.9,35.9,27.6
01-01T22:00:00,23.4,35.4,35.4,27.2
01-01T23:00:00,23.4,35.0,35.0,26.7
01-02T00:00:00,22.3,33.7,33.7,25.0
01-02T01:00:00,23.3,34.3,34.3,25.9
01-02T02:00:00,23.2,34.0,34.0,25.6
01-02T03:00:00,23.1,33.7,33.7,25.3
01-02T04:00:00,23.2,33.5,33.5,25.0
01-02T05:00:00,23.1,33.3,33.3,24.9
01-02T06:00:00,23.0,33.1,33.1,24.7
01-02T07:00:00,23.1,33.1,33.1,24.7
01-02T08:00:00,23.0,33.2,33.2,24.8
01-02T09:00:00,23.1,33.9,33.9,25.4
01-02T10:00:00,23.2,34.8,34.8,26.5
01-02T11:00:00,23.4,35.9,35.9,27.8
01-02T12:00:00,23.5,36.9,36.9,28.9
01-02T13:00:00,23.7,37.7,37.7,29.9
01-02T14:00:00,23.7,38.3,38.3,30.6
01-02T15:00:00,23.7,38.5,38.5,30.9
01-02T16:00:00,23.7,38.3,38.3,30.6
01-02T17:00:00,23.8,37.6,37.6,29.7
01-02T18:00:00,23.5,37.0,37.0,29.0
01-02T19:00:00,23.4,36.7,36.7,28.6
01-02T20:00:00,23.3,36.2,36.2,28.0
01-02T21:00:00,23.3,35.8,35.8,27.6
01-02T22:00:00,23.2,35.3,35.3,27.0
01-02T23:00:00,23.3,34.9,34.9,26.6
01-03T00:00:00,22.2,33.6,33.6,24.9
01-03T01:00:00,23.1,34.2,34.2,25.8
01-03T02:00:00,23.0,33.9,33.9,25.5
01-03T03:00:00,23.0,33.6,33.6,25.2
01-03T04:00:00,23.1,33.4,33.4,24.9
01-03T05:00:00,23.0,33.2,33.2,24.7
01-03T06:00:00,22.9,33.1,33.1,24.6
01-03T07:00:00,23.0,33.0,33.0,24.5
01-03T08:00:00,22.9,33.2,33.2,24.6
01-03T09:00:00,23.0,33.8,33.8,25.3
01-03T10:00:00,23.1,34.8,34.8,26.4
01-03T11:00:00,23.4,35.8,35.8,27.6
01-03T12:00:00,23.4,36.7,36.7,28.7
01-03T13:00:00,23.6,37.6,37.6,29.8
01-03T14:00:00,23.5,38.2,38.2,30.6
01-03T15:00:00,23.5,38.4,38.4,30.9
01-03T16:00:00,23.6,38.2,38.2,30.6
01-03T17:00:00,23.7,37.5,37.5,29.7
01-03T18:00:00,23.5,37.0,37.0,29.0
01-03T19:00:00,23.4,36.6,36.6,28.5
01-03T20:00:00,23.3,36.2,36.2,28.0
01-03T21:00:00,23.2,35.7,35.7,27.6
01-03T22:00:00,23.2,35.3,35.3,27.0
01-03T23:00:00,23.2,34.9,34.9,26.6
01-04T00:00:00,22.4,33.6,33.6,24.9
01-04T01:00:00,23.0,34.1,34.1,25.7
01-04T02:00:00,22.9,33.8,33.8,25.4
01-04T03:00:00,22.9,33.5,33.5,25.2
01-04T04:00:00,23.0,33.2,33.2,24.8
01-04T05:00:00,23.0,33.1,33.1,24.6
01-04T06:00:00,22.9,33.0,33.0,24.5
01-04T07:00:00,22.9,32.9,32.9,24.4
01-04T08:00:00,22.8,33.1,33.1,24.5
01-04T09:00:00,22.9,33.8,33.8,25.2
01-04T10:00:00,23.0,34.7,34.7,26.3
01-04T11:00:00,23.3,35.7,35.7,27.5
01-04T12:00:00,23.3,36.6,36.6,28.6
01-04T13:00:00,23.5,37.5,37.5,29.6
01-04T14:00:00,23.5,38.1,38.1,30.4
01-04T15:00:00,23.4,38.3,38.3,30.6
01-04T16:00:00,23.5,38.1,38.1,30.3
01-04T17:00:00,23.6,37.4,37.4,29.5
01-04T18:00:00,23.3,36.8,36.8,28.8
01-04T19:00:00,23.2,36.5,36.5,28.4
01-04T20:00:00,23.2,36.0,36.0,27.8
01-04T21:00:00,23.0,35.6,35.6,27.4
01-04T22:00:00,23.0,35.1,35.1,26.8
01-04T23:00:00,23.0,34.7,34.7,26.3
01-05T00:00:00,22.0,33.4,33.4,24.6
01-05T01:00:00,22.8,33.9,33.9,25.4
01-05T02:00:00,22.7,33.6,33.6,25.1
01-05T03:00:00,22.7,33.4,33.4,24.8
01-05T04:00:00,22.8,33.1,33.1,24.5
01-05T05:00:00,22.7,32.9,32.9,24.3
01-05T06:00:00,22.6,32.8,32.8,24.1
01-05T07:00:00,22.6,32.7,32.7,24.0
01-05T08:00:00,22.6,32.8,32.8,24.1
01-05T09:00:00,22.6,33.5,33.5,24.7
01-05T10:00:00,22.8,34.4,34.4,25.9
01-05T11:00:00,23.1,35.5,35.5,27.1
01-05T12:00:00,23.1,36.3,36.3,28.2
01-05T13:00:00,23.3,37.2,37.2,29.2
01-05T14:00:00,23.3,37.8,37.8,30.0
01-05T15:00:00,23.2,38.1,38.1,30.3
01-05T16:00:00,23.3,37.8,37.8,30.0
01-05T17:00:00,23.4,37.1,37.1,29.1
01-05T18:00:00,23.1,36.6,36.6,28.5
01-05T19:00:00,23.0,36.2,36.2,28.0
01-05T20:00:00,23.0,35.8,35.8,27.5
01-05T21:00:00,22.8,35.3,35.3,27.0
01-05T22:00:00,22.8,34.8,34.8,26.4
01-05T23:00:00,22.8,34.4,34.4,26.0
01-06T00:00:00,21.8,33.1,33.1,24.2
01-06T01:00:00,22.5,33.7,33.7,25.1
01-06T02:00:00,22.5,33.4,33.4,24.9
01-06T03:00:00,22.5,33.2,33.2,24.6
01-06T04:00:00,22.6,32.9,32.9,24.3
01-06T05:00:00,22.5,32.7,32.7,24.1
01-06T06:00:00,22.3,32.6,32.6,23.9
01-06T07:00:00,22.4,32.5,32.5,23.7
01-06T08:00:00,22.4,32.6,32.6,23.8
01-06T09:00:00,22.4,33.3,33.3,24.4
01-06T10:00:00,22.7,34.2,34.2,25.6
01-06T11:00:00,22.9,35.3,35.3,26.8
01-06T12:00:00,23.0,36.2,36.2,28.0
01-06T13:00:00,23.2,37.1,37.1,29.0
01-06T14:00:00,23.2,37.7,37.7,29.8
01-06T15:00:00,23.1,37.9,37.9,30.0
01-06T16:00:00,23.1,37.7,37.7,29.7
01-06T17:00:00,23.2,37.0,37.0,28.9
01-06T18:00:00,22.9,36.4,36.4,28.2
01-06T19:00:00,22.8,36.0,36.0,27.7
01-06T20:00:00,22.8,35.5,35.5,27.2
01-06T21:00:00,22.6,35.1,35.1,26.7
01-06T22:00:00,22.6,34.6,34.6,26.0
01-06T23:00:00,22.5,34.1,34.1,25.6
01-07T00:00:00,21.2,32.7,32.7,23.6
01-07T01:00:00,22.3,33.4,33.4,24.7
01-07T02:00:00,22.2,33.1,33.1,24.5
01-07T03:00:00,22.2,32.9,32.9,24.2
01-07T04:00:00,22.3,32.6,32.6,23.9
01-07T05:00:00,22.2,32.4,32.4,23.7
01-07T06:00:00,22.1,32.3,32.3,23.5
01-07T07:00:00,22.1,32.2,32.2,23.4
01-07T08:00:00,22.2,32.3,32.3,23.5
01-07T09:00:00,22.3,33.0,33.0,24.1
01-07T10:00:00,22.5,33.9,33.9,25.3
01-07T11:00:00,22.8,35.0,35.0,26.5
01-07T12:00:00,22.9,35.9,35.9,27.7
01-07T13:00:00,23.0,36.8,36.8,28.8
01-07T14:00:00,23.1,37.5,37.5,29.6
01-07T15:00:00,23.1,37.7,37.7,29.9
01-07T16:00:00,23.0,37.5,37.5,29.6
01-07T17:00:00,23.1,36.8,36.8,28.8
01-07T18:00:00,22.8,36.2,36.2,28.1
01-07T19:00:00,22.8,35.8,35.8,27.6
01-07T20:00:00,22.7,35.4,35.4,27.0
01-07T21:00:00,22.6,34.9,34.9,26.4
01-07T22:00:00,22.6,34.4,34.4,25.8
01-07T23:00:00,22.5,34.0,34.0,25.4
01-08T00:00:00,21.2,32.5,32.5,23.3
01-08T01:00:00,22.3,33.2,33.2,24.5
01-08T02:00:00,22.2,32.9,32.9,24.2
01-08T03:00:00,22.2,32.7,32.7,24.0
01-08T04:00:00,22.3,32.4,32.4,23.7
01-08T05:00:00,22.2,32.2,32.2,23.4
01-08T06:00:00,22.1,32.1,32.1,23.2
01-08T07:00:00,22.1,32.0,32.0,23.1
01-08T08:00:00,22.2,32.1,32.1,23.2
01-08T09:00:00,22.2,32.8,32.8,23.8
01-08T10:00:00,22.4,33.7,33.7,25.0
01-08T11:00:00,22.7,34.8,34.8,26.3
01-08T12:00:00,22.8,35.7,35.7,27.4
01-08T13:00:00,22.9,36.6,36.6,28.4
01-08T14:00:00,22.9,37.2,37.2,29.2
01-08T15:00:00,22.8,37.4,37.4,29.5
01-08T16:00:00,22.7,37.2,37.2,29.1
01-08T17:00:00,22.8,36.5,36.5,28.3
01-08T18:00:00,22.5,35.9,35.9,27.6
01-08T19:00:00,22.4,35.5,35.5,27.1
01-08T20:00:00,22.3,35.0,35.0,26.5
01-08T21:00:00,22.2,34.5,34.5,25.9
01-08T22:00:00,22.1,34.0,34.0,25.3
01-08T23:00:00,22.0,33.6,33.6,24.8
01-09T00:00:00,20.9,32.1,32.1,22.8
01-09T01:00:00,21.9,32.9,32.9,24.0
01-09T02:00:00,21.8,32.6,32.6,23.7
01-09T03:00:00,21.8,32.4,32.4,23.5
01-09T04:00:00,21.9,32.1,32.1,23.2
01-09T05:00:00,21.9,31.9,31.9,22.9
01-09T06:00:00,21.7,31.7,31.7,22.7
